-541.9319657128652,-165.15807087954832
-559.203553708179,-167.19551166299547
-576.8132624704666,-165.55884838157357
-593.8141108426579,-160.03674680993618
-608.8767777720673,-150.77625060045844
-620.9281043454266,-138.1992562987667
-629.5194426142505,-122.94555513159212
-634.7054904707901,-105.8357635559894
-636.781883563473,-87.7734549404696
-636.2434220606574,-69.55071619202016
-633.843379005873,-51.64703510888994
-630.3925585426753,-34.175128042803756
-626.3153905521272,-17.03154582022055
-621.4552872078551,-0.1272729461928927
-615.4610157935048,16.505237966076972
-608.3877449900135,32.80219871422099
-600.7993627436853,48.81217248761389
-593.1983699708094,64.68664340324632
-585.4421642467587,80.49315160777785
-576.8792511203276,96.06272405441203
-567.0916140711098,111.0886118030092
-556.3704430501107,125.42336062362598
-545.346943055551,139.26197065845415
-534.2282341061951,152.96886838153588
-522.584575012211,166.67686472446817
-509.95187070535695,180.06665346843377
-496.474052753837,192.58758461858795
-482.7216777857946,203.91996673190738
-468.843375010469,214.19050264892257
-454.0974356655401,223.67181039283983
-437.44281925583124,232.22355541494568
-418.6381755821878,239.02013871536815
-398.6770636701596,242.85025961474423
-379.133001498026,242.73437529327134
-361.20393277656694,238.341119063017
-345.47778302039694,229.93759808264952
-332.454445223824,218.07219707708873
-322.91017570991465,203.3652579390199
-317.45623959370437,186.53562482150446
-315.7685889872403,168.4575367174548
-316.51448241945684,150.01694970413237
-318.25367074086,131.8196315225578
-320.4382419243041,114.03192707420911
-323.4828619015865,96.52742634839211
-327.919674816216,79.19492884590966
-333.6455541820098,62.105202002839874
-340.0599112307068,45.411183982000566
-346.79394825683084,29.154459958799883
-354.0899875893853,13.2294409247579
-362.41456234476055,-2.4567922022287556
-371.85140985381275,-17.832982468639834
-382.0266667023144,-32.71392724274158
-392.5899092279328,-47.00484073607978
-403.58955955775707,-60.825655890396455
-415.28464642494737,-74.40199241582039
-427.6986231643359,-87.82395238049415
-440.53394872742444,-100.9190411493781
-453.5555661501812,-113.36696684175061
-466.9223967157433,-124.93358570835089
-481.02393726436264,-135.58056160067716
-496.03798909142756,-145.33123238060043
-511.7832316467928,-154.00827367272444
-528.0287858680372,-161.0774110321621
"-544.7935302535182*UnitStep[I]","-165.73667903426858*UnitStep[I]"
"-562.1581898557716*UnitStep[I]","-167.18795769735192*UnitStep[I]"
"-579.7492175510175*UnitStep[I]","-164.90209628212997*UnitStep[I]"
"-596.5181319490091*UnitStep[I]","-158.7325785103727*UnitStep[I]"
"-611.1342077847113*UnitStep[I]","-148.87853324608338*UnitStep[I]"
"-622.6178145195155*UnitStep[I]","-135.80122811437744*UnitStep[I]"
"-630.6236102289629*UnitStep[I]","-120.17399855085559*UnitStep[I]"
"-635.2616304041823*UnitStep[I]","-102.84104756050645*UnitStep[I]"
"-636.8568315895254*UnitStep[I]","-84.70279097467711*UnitStep[I]"
"-635.9465081296561*UnitStep[I]","-66.51064590257064*UnitStep[I]"
"-633.3178663691561*UnitStep[I]","-48.68039885883532*UnitStep[I]"
"-629.7484224502022*UnitStep[I]","-31.273231793052698*UnitStep[I]"
"-625.5636290701078*UnitStep[I]","-14.17299864560579*UnitStep[I]"
"-620.5327950844624*UnitStep[I]","2.6906977484107037*UnitStep[I]"
"-614.3363688094439*UnitStep[I]","19.269589259690683*UnitStep[I]"
"-607.1291287431173*UnitStep[I]","35.5107550140635*UnitStep[I]"
"-599.5164119028506*UnitStep[I]","51.48675868251089*UnitStep[I]"
"-591.9196986908163*UnitStep[I]","67.3506211097972*UnitStep[I]"
"-584.0774536576026*UnitStep[I]","83.13570749809081*UnitStep[I]"
"-575.3203008043753*UnitStep[I]","98.63501487220655*UnitStep[I]"
"-565.3369715145575*UnitStep[I]","113.54632054936613*UnitStep[I]"
"-554.5235769921502*UnitStep[I]","127.77517658003458*UnitStep[I]"
"-543.4893927206685*UnitStep[I]","141.56728674768885*UnitStep[I]"
"-532.3240014291456*UnitStep[I]","155.27682471975896*UnitStep[I]"
"-520.5349355785266*UnitStep[I]","168.96508451709127*UnitStep[I]"
